52	2021	----	preprint	Bill Thompson; Thomas L. Griffiths	Human Biases Limit Cumulative Innovation	n/a	https://doi.org/10.31219/osf.io/hb9z8	https://openalex.org/W4213073790
53	2021	----	preprint	Yaron Leander Strauch; J. Grundy	Two Novel Performance Improvements for Evolving CNN Topologies	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2102.05451	https://openalex.org/W3128751100
54	2022	----	article	Michael Levin	Technological Approach to Mind Everywhere: An Experimentally-Grounded Framework for Understanding Diverse Bodies and Minds	Frontiers in Systems Neuroscience	https://doi.org/10.3389/fnsys.2022.768201	https://openalex.org/W4220997294
55	2022	SELF	article	Richard A. Watson; Michael Levin; Christopher L. Buckley	Design for an Individual: Connectionist Approaches to the Evolutionary Transitions in Individuality	Frontiers in Ecology and Evolution	https://doi.org/10.3389/fevo.2022.823588	https://openalex.org/W4220910217
56	2022	----	article	Frank Imbach; Stéphane Perrey; Romain Chailan; Thibaut Méline; Robin Candau	Training load responses modelling and model generalisation in elite sports	Scientific Reports	https://doi.org/10.1038/s41598-022-05392-8	https://openalex.org/W4210365327
57	2022	----	article	Dániel Czégel; Hamza Giaffar; Joshua B. Tenenbaum; Eörs Szathmáry	Bayes and Darwin: How replicator populations implement Bayesian computations	BioEssays	https://doi.org/10.1002/bies.202100255	https://openalex.org/W4214611528
58	2022	----	article	Avi Hazan; Elishai Ezra Tsur	Neuromorphic Neural Engineering Framework-Inspired Online Continuous Learning with Analog Circuitry	Applied Sciences	https://doi.org/10.3390/app12094528	https://openalex.org/W4226474946
59	2022	----	article	Eden Tian Hwa Ng; Akira R. Kinjo	Computational modelling of plasticity-led evolution	Biophysical Reviews	https://doi.org/10.1007/s12551-022-01018-5	https://openalex.org/W4311718540
60	2022	----	conference-paper	James Butterworth; Rahul Savani; Karl Tuyls	Generative Models over Neural Controllers for Transfer Learning	Lecture notes in computer science	https://doi.org/10.1007/978-3-031-14714-2_28	https://openalex.org/W4291270602
61	2022	----	report	Lynn Chiu	Extended Evolutionary Synthesis: A review of the latest scientific research	n/a	https://doi.org/10.15868/socialsector.40950	https://openalex.org/W4297778645
62	2022	----	article	Andrew Buskell; Dariusz Sagan	Dwustronna przyczynowość i rozszerzona synteza ewolucyjna	Filozoficzne Aspekty Genezy	https://doi.org/10.53763/fag.2019-2020.16-17.6	https://openalex.org/W4207053125
