cell         reg branch      s  held  vocab Kdx2  dlyx2 Kx2   floor persist tape  ops/ep  ERASE_ALL ERASE_REGS ERASE_TAPE SCR_LOC RESET_IP slope   class
B_update     S1  B2_transfer 2  0.042 0.021 0.083 0.042 0.083 0.002 none    128   51.1    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
B_update     S1  B2_transfer 3  0.042 0.042 0.062 0.083 0.083 0.002 none    256   55.1    0.000     0.000      0.000      0.000   0.000   0.011 NO_ADAPTATION
C_forget     S0  B1_naive    1  0.042 0.062 0.000 0.021 0.010 0.000 regs    128   1324.0  0.000     0.000      0.000      0.000   0.000   0.005 NO_ADAPTATION
C_forget     S0  B1_naive    2  0.000 0.021 0.021 0.042 0.021 0.000 regs    64    5194.7  0.000     0.000      0.000      0.000   0.000   -0.005 NO_ADAPTATION
C_forget     S0  B1_naive    3  0.062 0.062 0.083 0.042 0.021 0.000 regs    256   173.5   0.000     0.000      0.000      0.000   0.000   0.005 NO_ADAPTATION
C_forget     S1  B1_naive    1  0.000 0.000 0.000 0.000 0.000 0.000 regs    64    82.8    0.000     0.000      0.000      0.000   0.000   -0.005 NO_ADAPTATION
C_forget     S1  B1_naive    2  0.000 0.021 0.021 0.042 0.010 0.000 regs    128   428.1   0.000     0.000      0.000      0.000   0.042   0.000 NO_ADAPTATION
C_forget     S1  B1_naive    3  0.042 0.000 0.062 0.042 0.021 0.000 regs    256   1388.0  0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
D_bind2      S1  B1_naive    1  0.062 0.073 0.031 0.052 0.083 0.007 none    64    203.6   0.000     0.000      0.000      0.000   0.000   0.005 NO_ADAPTATION
D_bind2      S1  B1_naive    2  0.042 0.062 0.042 0.094 0.057 0.007 none    256   60.7    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
D_bind2      S1  B1_naive    3  0.062 0.073 0.031 0.052 0.052 0.007 none    256   59.3    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
D_bind2      S1  B2_transfer 1  0.062 0.073 0.031 0.052 0.083 0.007 none    64    174.5   0.000     0.000      0.000      0.000   0.000   0.003 NO_ADAPTATION
D_bind2      S1  B2_transfer 2  0.042 0.062 0.042 0.094 0.057 0.007 none    128   60.7    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
D_bind2      S1  B2_transfer 3  0.031 0.021 0.021 0.031 0.031 0.007 none    256   59.3    0.000     0.000      0.000      0.000   -0.031   -0.003 NO_ADAPTATION
D_bind2      S3  B1_naive    1  0.062 0.073 0.031 0.052 0.083 0.007 none    128   907.7   0.000     0.000      0.000      0.000   0.000   0.003 NO_ADAPTATION
D_bind2      S3  B1_naive    2  0.042 0.062 0.042 0.094 0.057 0.007 none    64    60.7    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
D_bind2      S3  B1_naive    3  0.062 0.073 0.031 0.052 0.052 0.007 none    256   59.3    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
E_bind4      S1  B1_naive    1  0.094 0.021 0.052 0.068 0.065 0.007 none    256   75.7    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
E_bind4      S1  B1_naive    2  0.042 0.052 0.062 0.052 0.081 0.007 none    128   149.5   0.000     0.000      0.000      0.000   0.000   0.004 NO_ADAPTATION
E_bind4      S1  B1_naive    3  0.036 0.068 0.047 0.083 0.055 0.007 none    512   76.9    0.000     0.000      0.000      0.000   0.000   -0.001 NO_ADAPTATION
G_interfere  S1  B1_naive    1  0.062 0.031 0.052 0.062 0.052 0.004 none    256   57.5    0.000     0.000      0.000      0.000   0.000   0.019 NO_ADAPTATION
G_interfere  S1  B1_naive    2  0.062 0.094 0.052 0.125 0.042 0.004 none    256   58.1    0.000     0.000      0.000      0.000   0.000   0.003 NO_ADAPTATION
G_interfere  S1  B1_naive    3  0.052 0.083 0.083 0.042 0.062 0.004 none    256   57.9    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
H_timescale  S1  B1_naive    1  0.042 0.094 0.042 0.052 0.068 0.006 none    128   111.3   0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
H_timescale  S1  B1_naive    2  0.052 0.052 0.073 0.062 0.031 0.006 none    64    585.1   0.000     0.000      0.000      0.000   0.010   0.000 NO_ADAPTATION
H_timescale  S1  B1_naive    3  0.042 0.094 0.021 0.042 0.057 0.006 none    128   231.1   0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
