pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_eqt,st_mass,st_rad,st_teff,sy_dist,disc_year
"K2-381 d","K2-381",26.80302300000,,,,,0.15068275,,0.754000,0.675000,4473.00,145.70100000,2022
"K2-382 b","K2-382",21.70015600000,,,,,0.18485178,,0.922000,0.811000,5452.00,278.41200000,2022
"K2-383 b","K2-383",1.86596200000,,,,,0.13953097,,1.061000,0.804000,5129.00,203.78800000,2022
"K2-203 b","K2-203",9.69520000000,0.0824000000,0.230000,89.12000,,0.11290000,738.40,0.793000,0.765000,5026.00,166.14700000,2018
"K2-204 b","K2-204",7.05590800000,0.0738000000,0.280000,88.76000,,0.28300000,1148.00,1.076000,1.253000,5783.00,577.23500000,2018
"K2-205 b","K2-205",26.67226300000,,,89.09695,,0.17802906,,0.951027,1.077574,5890.00,405.30100000,2018
"K2-206 b","K2-206",18.29454900000,,,89.11217,,0.24937361,,0.789481,0.758046,5043.00,244.44300000,2018
"K2-207 b","K2-207",12.48749000000,,,88.62001,,0.23247861,,0.941851,0.928158,5522.00,363.06400000,2018
"K2-208 b","K2-208",4.19097000000,0.0487800000,0.370000,86.94000,,0.14940000,1122.00,0.881000,0.872000,5500.00,256.88700000,2018
"K2-209 b","K2-209",2.08061500000,,,86.23126,,0.07748261,,0.744790,0.712365,4720.00,76.49860000,2018
"K2-210 b","K2-210",0.57023000000,,,89.20000,,0.07672419,,,0.890000,5500.00,176.51000000,2018
"K2-211 b","K2-211",0.66956100000,0.0141900000,0.190000,84.10000,,0.11880000,1873.00,0.851000,0.818000,5117.00,272.29700000,2018
"K2-213 b","K2-213",8.13087000000,,,87.86162,,0.13506866,,1.069596,1.204240,5794.00,389.70200000,2018
"K2-215 b","K2-215",8.26964800000,,,88.98419,,0.18947385,,0.999987,0.974398,5704.00,403.96400000,2018
"K2-217 b","K2-217",14.07452400000,,,88.04322,,0.31925602,,1.102661,1.333718,5967.00,381.87800000,2018
"K2-218 b","K2-218",8.67988500000,,,88.45262,,0.22923378,,1.047488,1.008231,5757.00,394.08300000,2018
"K2-219 b","K2-219",3.90128700000,,,86.79476,,0.12022712,,1.021545,1.189232,5753.00,325.40000000,2018
"K2-219 c","K2-219",6.66767000000,,,87.26923,,0.12832521,,1.021545,1.189232,5753.00,325.40000000,2018
"K2-219 d","K2-219",11.13727800000,,,88.28659,,0.22984607,,1.021545,1.189232,5753.00,325.40000000,2018
"K2-221 b","K2-221",2.39909400000,,,85.44711,,0.14978167,,1.010842,0.947599,5716.00,318.81000000,2018
"K2-223 b","K2-223",0.50557000000,,,89.70000,,0.07940062,,,1.000000,5859.00,198.60400000,2018
"K2-223 c","K2-223",4.56254600000,,,89.60000,,0.13382127,,,1.000000,5859.00,198.60400000,2018
"K2-224 b","K2-224",4.47904000000,0.0516000000,,,,0.13917388,1002.00,0.910000,0.840000,5620.00,275.25500000,2018
"K2-224 c","K2-224",10.09489000000,0.0886000000,,,,0.21500580,764.00,0.910000,0.840000,5620.00,275.25500000,2018
"K2-225 b","K2-225",15.87230000000,0.1409000000,0.230000,88.64000,,0.32200000,923.00,1.482000,1.700000,5520.00,357.77800000,2018
"K2-226 b","K2-226",3.27109000000,0.0409500000,0.220000,87.60000,,0.13730000,1187.00,0.856000,0.889000,5288.00,211.26500000,2018
"K2-227 b","K2-227",13.62183200000,,,88.37406,,0.14858712,,0.950811,0.890666,5673.00,187.23400000,2018
"K2-228 b","K2-228",2.69828000000,0.0338000000,,,,0.10794897,914.00,0.710000,0.650000,4715.00,129.46000000,2018
"K2-229 b","K2-229",0.58421600000,,,89.70000,,0.08921418,,,0.790000,5315.00,102.56400000,2018
"K2-229 c","K2-229",8.32727000000,0.0769000000,,,,0.18110447,750.00,0.870000,0.790000,5315.00,102.56400000,2018
"K2-230 b","K2-230",2.86041000000,0.0409000000,,,,0.17485949,1529.00,1.110000,1.390000,5945.00,540.77300000,2018
"EPIC 229004835 b","EPIC 229004835",16.14113200000,0.1237000000,0.230000,88.08000,0.03272206,0.20804746,804.00,0.970000,0.999000,5868.00,121.97100000,2023
"K2-259 b","K2-259",15.48043000000,0.1271000000,,,,0.20697654,795.00,1.140000,1.130000,6059.00,416.45700000,2018
"K2-80 d","K2-80",28.86725300000,,,89.39678,,0.22768446,,0.913111,0.841458,5377.00,200.80200000,2018
"EPIC 228836835 b","EPIC 228836835",0.72811300000,,,89.70000,,0.09813560,,,0.320000,3782.00,150.12400000,2021
"K2-331 c","K2-331",22.99659100000,,,,,0.24266256,673.00,1.100000,1.060000,5994.00,211.43000000,2021
"K2-333 b","K2-333",14.75928700000,,,,,0.55134362,826.00,1.060000,1.220000,5880.00,343.99000000,2021
"K2-334 b","K2-334",5.11398100000,,,,,0.50406011,1380.00,1.360000,1.490000,6502.00,371.82300000,2021
"K2-342 b","K2-342",11.56105200000,,,,,0.18110478,861.00,1.010000,1.090000,5920.00,208.35700000,2021
"K2-343 c","K2-343",7.67697200000,,,,,0.18021264,465.00,0.490000,0.460000,3804.00,166.16900000,2021
"K2-344 b","K2-344",3.35585000000,,,,,0.14185054,722.00,0.510000,0.490000,4374.00,75.16910000,2021
"K2-348 b","K2-348",4.68841800000,,,,,0.29083822,908.00,0.830000,0.850000,5077.00,201.85600000,2021
"K2-348 c","K2-348",12.55017100000,,,,,0.23820186,655.00,0.830000,0.850000,5077.00,201.85600000,2021
"K2-352 c","K2-352",8.23488500000,,,,,0.17129122,885.00,0.980000,0.950000,5791.00,176.05100000,2021
"K2-352 d","K2-352",14.87138700000,,,,,0.19894762,727.00,0.980000,0.950000,5791.00,176.05100000,2021
"G 9-40 b","G 9-40",5.74599820000,0.0418000000,0.000000,89.03000,0.01258541,0.16950694,440.60,0.295200,0.302600,3395.00,27.92760000,2019
"HD 80653 b","HD 80653",0.71957300000,0.0166100000,0.000000,82.10000,0.01799713,0.14390247,2463.00,1.180000,1.220000,5959.00,109.86000000,2020
"Kepler-21 b","Kepler-21",2.78582120000,0.0434000000,0.000000,83.20000,0.02359764,0.14622204,2015.00,1.408000,1.902000,6305.00,108.52200000,2012
"Kepler-8 b","Kepler-8",3.52249910000,0.0474000000,,83.97800,0.59000000,1.41600000,1680.00,1.213000,1.486000,6213.00,1021.87000000,2010
"KOI-984 b","KOI-984",4.28817850000,0.0504000000,0.120000,,,0.38362097,1022.00,0.928000,0.818000,5295.00,252.66700000,2022
"Kepler-505 b","Kepler-505",27.52197994000,,,,,0.23195646,,0.550000,0.530000,3931.00,283.41000000,2016
"Kepler-745 b","Kepler-745",9.93143556000,,,,,0.19270229,,1.040000,1.040000,5849.00,1780.38000000,2016
"Kepler-262 c","Kepler-262",21.85372200000,0.1520000000,,,,0.14600000,,,0.881000,5841.00,613.12900000,2014
"Kepler-748 b","Kepler-748",7.40742793000,,,,,0.22481934,,1.070000,1.100000,5934.00,1705.99000000,2016
"Kepler-264 b","Kepler-264",40.80623100000,0.2490000000,,,,0.29700000,,,1.550000,6158.00,942.17300000,2014
"HD 73344 b","HD 73344",15.61100000000,0.1310000000,0.030000,88.08200,0.03297377,0.25729369,911.00,1.200000,1.220000,6252.60,35.26000000,2024
"Kepler-1732 b","Kepler-1732",32.31240082000,,,,,0.36569184,,1.043000,1.494000,5821.00,1289.41000000,2021
"Kepler-263 b","Kepler-263",16.56808700000,0.1200000000,,,,0.23800000,,,0.785000,5265.00,754.74700000,2014
"Kepler-261 b","Kepler-261",10.38122700000,0.0880000000,,,,0.19400000,,,0.794000,5098.00,317.49900000,2014
"K2-368 d","K2-368",20.20108500000,,,,,0.17378922,,0.746000,0.663000,4663.00,206.60800000,2022
"K2-368 c","K2-368",9.66018600000,,,,,0.12142050,,0.746000,0.663000,4663.00,206.60800000,2022
"Kepler-1733 b","Kepler-1733",9.22957992600,,,,,0.32436701,,1.273000,1.252000,6320.00,2080.51000000,2021
"Kepler-754 b","Kepler-754",14.55962370000,,,,,0.17932019,,1.060000,1.080000,5935.00,1770.27000000,2016
"K2-373 b","K2-373",11.02066000000,,,,,0.18387042,,1.158000,1.486000,6138.00,229.56700000,2022
"Kepler-753 b","Kepler-753",5.74772501200,,,,,0.17039879,,0.680000,0.650000,4346.00,274.76700000,2016
"K2-339 b","K2-339",19.50742800000,,,,,0.17129122,508.00,0.740000,0.720000,4857.00,360.36000000,2021
"Kepler-752 b","Kepler-752",18.82747265000,,,,,0.25069141,,0.870000,0.830000,5373.00,1232.29000000,2016
"K2-343 b","K2-343",2.78717400000,,,,,0.14720339,653.00,0.490000,0.460000,3804.00,166.16900000,2021
"Kepler-766 b","Kepler-766",6.10027804000,,,,,0.30243554,,1.100000,1.150000,5992.00,2297.62000000,2016
"Kepler-771 b","Kepler-771",8.73485836000,,,,,0.16236952,,1.030000,1.050000,5906.00,1393.85000000,2016
"EPIC 212624936 c","EPIC 212624936",11.81143700000,,,90.00000,,0.20519261,,,0.930000,5765.00,561.92900000,2021
"Kepler-773 b","Kepler-773",3.74910006100,,,,,0.12757605,,1.040000,1.010000,5850.00,547.02600000,2016
"K2-379 b","K2-379",8.77724700000,,,,,0.19457612,,0.856000,0.751000,4603.00,182.20700000,2022
"K2-380 b","K2-380",9.40131200000,,,,,0.24346549,,0.993000,1.320000,5911.00,249.30300000,2022
"Kepler-767 b","Kepler-767",161.52801010000,,,,,0.59238112,,0.960000,0.940000,5694.00,2251.03000000,2016
