query_formula,query_elements,sc_class,mp_spacegroup,mp_tc,cod_id,cod_formula,cod_spacegroup,cod_sg_number,cod_a,cod_b,cod_c,cod_vol,cod_year
Co1O2,Co-O,Oxide,I 4/m,0.0,1526734,- Co3 O4 -,F -4 3 m,216,8.065,8.065,8.065,524.582,1972
Co1O2,Co-O,Oxide,I 4/m,0.0,1526822,- Co O2 -,C c m m,63,4.834,2.82,21.518,293.331,2001
Sr1Ti1O3,O-Sr-Ti,Oxide,I 4/m c m,0.5040416665,1512124,- O3 Sr Ti -,P m -3 m,221,3.899,3.899,3.899,59.273,2011
Sr1Ti1O3,O-Sr-Ti,Oxide,I 4/m c m,0.5040416665,1517788,- O4 Sr2 Ti -,I 4/m m m,139,3.884,3.884,12.6,190.077,2007
Sr1Ti1O3,O-Sr-Ti,Oxide,I 4/m c m,0.5040416665,1530317,- O7 Sr3 Ti2 -,I 4/m m m,139,3.899,3.899,20.39999,310.125,1959
Sr1Ti1O3,O-Sr-Ti,Oxide,I 4/m c m,0.5040416665,1574067,- O3 Sr Ti -,P m -3 m,221,3.9059,3.9059,3.9059,59.589,2025
Sr1Ti1O3,O-Sr-Ti,Oxide,I 4/m c m,0.5040416665,2002232,- O13 Sr2 Ti6 -,C 1 2/m 1,12,15.25,3.769,9.164,520,1980
K0.9Re1O3,K-O-Re,Oxide,I 41/a,0.0,2001934,- K O4 Re -,I 41/a,,5.68174,5.68174,12.7118,410.36,1993
K0.9Re1O3,K-O-Re,Oxide,I 41/a,0.0,2001935,- K O4 Re -,I 41/a,,5.66115,5.66115,12.611,404.165,1993
K0.9Re1O3,K-O-Re,Oxide,I 41/a,0.0,2001936,- K O4 Re -,I 41/a,,5.65029,5.65029,12.5556,400.847,1993
K0.9Re1O3,K-O-Re,Oxide,I 41/a,0.0,2106705,- K O4 Re -,I 41/a :2,88,5.66,5.66,12.677,406.115,1975
K0.9Re1O3,K-O-Re,Oxide,I 41/a,0.0,5910132,- K O4 Re -,I 41/a :2,88,5.61,5.61,12.5,393.401,1931
In2O3,In-O,Oxide,I a -3,3.3,1010341,- In2 O3 -,I 21 3,199,10.12,10.12,10.12,1036.4,1927
In2O3,In-O,Oxide,I a -3,3.3,1010588,- In2 O3 -,I 21 3,199,10.12,10.12,10.12,1036.4,1928
In2O3,In-O,Oxide,I a -3,3.3,1538147,- In2 O3 -,I a -3,206,10.14,10.14,10.14,1042.59,1925
In2O3,In-O,Oxide,I a -3,3.3,1567940,- In2 O3 -,P b n a,60,5.432,5.539,7.875,236.942,2008
In2O3,In-O,Oxide,I a -3,3.3,2310009,- In2 O3 -,I a -3,206,10.117,10.117,10.117,1035.51,1966
Ca1.5Ru1Sr0.5O4,Ca-O-Ru-Sr,Oxide,I b a 2,0.0,1526045,- Ca1.9 O4 Ru Sr0.1 -,P b c a,61,5.4207,5.4802,11.9395,354.681,2001
Ca1.5Ru1Sr0.5O4,Ca-O-Ru-Sr,Oxide,I b a 2,0.0,1526047,- Ca1.8 O4 Ru Sr0.2 -,P b c a,61,5.3304,5.319,12.4094,351.836,2001
Ca1.5Ru1Sr0.5O4,Ca-O-Ru-Sr,Oxide,I b a 2,0.0,1526049,- Ca1.5 O4 Ru Sr0.5 -,I 41/a c d :2,142,5.3195,5.3195,25.1734,712.334,2001
Ca1.5Ru1Sr0.5O4,Ca-O-Ru-Sr,Oxide,I b a 2,0.0,4124513,- Ca O9 Ru2 Sr3 -,P 1 21/c 1,14,17.154,5.6891,9.8627,788.441,2002
Rb0.14W1O3,O-Rb-W,Oxide,I m m m,5.1,1001020,- O3 Rb0.28 W -,P 63/m c m,193,7.3875,7.3875,7.5589,357.3,1978
Rb0.14W1O3,O-Rb-W,Oxide,I m m m,5.1,1001198,- O108 Rb21.79 W32.74 -,I -4,82,15.966,15.966,10.099,2574.4,1979
Rb0.14W1O3,O-Rb-W,Oxide,I m m m,5.1,1004089,- O6 Rb W1.6 -,F d -3 m :2,227,10.176,10.176,10.176,1053.7,1991
Rb0.14W1O3,O-Rb-W,Oxide,I m m m,5.1,1531196,- O3 Rb0.333 W -,P 63/m c m,193,7.3939,7.3939,7.5758,358.679,2003
Rb0.14W1O3,O-Rb-W,Oxide,I m m m,5.1,2106408,- O107 Rb22 W32 -,I -4,82,15.966,15.966,10.099,2574.37,1977
Ag5Pb2O6,Ag-O-Pb,Oxide,P -3 1 m,0.0502,1509689,- Ag2 O2 Pb -,I 1 2/c 1,15,6.082,8.715,6.556,346.778,1950
Ag5Pb2O6,Ag-O-Pb,Oxide,P -3 1 m,0.0502,1509690,- Ag2 O2 Pb -,I 1 2/c 1,15,6.0775,8.704,6.553,345.981,1989
Ag5Pb2O6,Ag-O-Pb,Oxide,P -3 1 m,0.0502,1509924,- Ag5 O6 Pb2 -,P -3 1 m,162,5.9405,5.9405,6.4349,196.661,2007
Ag5Pb2O6,Ag-O-Pb,Oxide,P -3 1 m,0.0502,1509925,- Ag5 O6 Pb2 -,P 3 1 m,157,5.939,5.939,6.428,196.351,1950
Ag5Pb2O6,Ag-O-Pb,Oxide,P -3 1 m,0.0502,1532605,- Ag4.64 O5.87 Pb2 -,P -3 1 m,162,5.9415,5.9415,6.4289,196.544,2002
U1O2,O-U,OxideHeavy_fermion,F m -3 m,0.0,1524454,- O0.12 U0.88 -,P 4/m m m,123,5.38,5.38,5.55,160.641,1948
U1O2,O-U,OxideHeavy_fermion,F m -3 m,0.0,1527741,- O3 U -,I 41/a m d :2,141,6.9013,6.9013,19.9754,951.387,1977
U1O2,O-U,OxideHeavy_fermion,F m -3 m,0.0,1527742,- O3 U -,F d d d :2,70,9.787,19.932,9.705,1893.2,1977
U1O2,O-U,OxideHeavy_fermion,F m -3 m,0.0,1527743,- O3 U -,C 2 m m,38,3.961,6.86,4.166,113.2,1966
U1O2,O-U,OxideHeavy_fermion,F m -3 m,0.0,1529146,- O10 U3 -,P 1 21/c 1,14,6.821,18.91,7.3,802.323,1972
Ni1Pr2O4,Ni-O-Pr,OxideHeavy_fermion,P 42/n c m,0.0,1000290,- Ni O3 Pr -,P b n m,62,5.4146,5.3757,7.6199,221.8,1990
Ni1Pr2O4,Ni-O-Pr,OxideHeavy_fermion,P 42/n c m,0.0,1000291,- Ni O3 Pr -,P b n m,62,5.4294,5.3849,7.6362,223.3,1990
Ni1Pr2O4,Ni-O-Pr,OxideHeavy_fermion,P 42/n c m,0.0,1000292,- Ni O3 Pr -,P b n m,62,5.4456,5.3952,7.652,224.8,1990
Ni1Pr2O4,Ni-O-Pr,OxideHeavy_fermion,P 42/n c m,0.0,1000293,- Ni O3 Pr -,R -3 c :H,167,5.4577,5.4577,13.1058,338.1,1990
Ni1Pr2O4,Ni-O-Pr,OxideHeavy_fermion,P 42/n c m,0.0,1000294,- Ni O3 Pr -,R -3 c :H,167,5.4614,5.4614,13.1319,339.2,1990
