LAUNCH Thu 09/24/2026  7:06:42.36 
stored 408/1200  4773s
stored 409/1200  4897s
stored 410/1200  4914s
stored 411/1200  4919s
stored 412/1200  4926s
stored 413/1200  4926s
stored 414/1200  4928s
stored 415/1200  5043s
stored 416/1200  5063s
stored 417/1200  5065s
stored 418/1200  5066s
stored 419/1200  5067s
stored 420/1200  5077s
stored 421/1200  5197s
stored 422/1200  5213s
stored 423/1200  5217s
stored 424/1200  5218s
stored 425/1200  5224s
stored 426/1200  5232s
stored 427/1200  5354s
stored 428/1200  5355s
stored 429/1200  5367s
stored 430/1200  5369s
stored 431/1200  5375s
stored 432/1200  5379s
stored 433/1200  5517s
stored 434/1200  5517s
stored 435/1200  5524s
stored 436/1200  5529s
stored 437/1200  5533s
stored 438/1200  5546s
stored 439/1200  5679s
stored 440/1200  5681s
stored 441/1200  5686s
stored 442/1200  5688s
stored 443/1200  5696s
stored 444/1200  5706s
stored 445/1200  5833s
stored 446/1200  5840s
stored 447/1200  5842s
stored 448/1200  5845s
stored 449/1200  5863s
stored 450/1200  5865s
stored 451/1200  5983s
stored 452/1200  5992s
stored 453/1200  5998s
stored 454/1200  6003s
stored 455/1200  6010s
stored 456/1200  6020s
stored 457/1200  6126s
stored 458/1200  6133s
stored 459/1200  6139s
stored 460/1200  6140s
stored 461/1200  6145s
stored 462/1200  6155s
stored 463/1200  6267s
stored 464/1200  6282s
stored 465/1200  6285s
stored 466/1200  6287s
stored 467/1200  6290s
stored 468/1200  6308s
stored 469/1200  6421s
stored 470/1200  6438s
stored 471/1200  6441s
stored 472/1200  6446s
stored 473/1200  6448s
stored 474/1200  6467s
stored 475/1200  6582s
stored 476/1200  6594s
stored 477/1200  6601s
stored 478/1200  6607s
stored 479/1200  6610s
stored 480/1200  6629s
stored 481/1200  6734s
stored 482/1200  6744s
stored 483/1200  6754s
stored 484/1200  6755s
stored 485/1200  6767s
stored 486/1200  6778s
stored 487/1200  6884s
stored 488/1200  6893s
stored 489/1200  6904s
stored 490/1200  6915s
stored 491/1200  6923s
stored 492/1200  6938s
stored 493/1200  7039s
stored 494/1200  7046s
stored 495/1200  7061s
stored 496/1200  7076s
stored 497/1200  7080s
stored 498/1200  7097s
stored 499/1200  7190s
stored 500/1200  7195s
stored 501/1200  7212s
stored 502/1200  7223s
stored 503/1200  7235s
stored 504/1200  7245s
stored 505/1200  7346s
stored 506/1200  7347s
stored 507/1200  7370s
stored 508/1200  7381s
stored 509/1200  7390s
stored 510/1200  7403s
stored 511/1200  7502s
stored 512/1200  7508s
stored 513/1200  7530s
stored 514/1200  7530s
stored 515/1200  7537s
stored 516/1200  7550s
stored 517/1200  7648s
stored 518/1200  7660s
stored 519/1200  7676s
stored 520/1200  7680s
stored 521/1200  7692s
stored 522/1200  7699s
stored 523/1200  7795s
stored 524/1200  7807s
stored 525/1200  7820s
stored 526/1200  7826s
stored 527/1200  7837s
stored 528/1200  7843s
stored 529/1200  7921s
stored 530/1200  7940s
stored 531/1200  7945s
stored 532/1200  7964s
stored 533/1200  7969s
stored 534/1200  7980s
stored 535/1200  8053s
stored 536/1200  8080s
stored 537/1200  8082s
stored 538/1200  8104s
stored 539/1200  8117s
stored 540/1200  8123s
stored 541/1200  8205s
stored 542/1200  8236s
stored 543/1200  8246s
stored 544/1200  8247s
stored 545/1200  8267s
stored 546/1200  8276s
stored 547/1200  8364s
stored 548/1200  8390s
stored 549/1200  8403s
stored 550/1200  8405s
stored 551/1200  8419s
stored 552/1200  8431s
stored 553/1200  8522s
stored 554/1200  8544s
stored 555/1200  8544s
stored 556/1200  8562s
stored 557/1200  8571s
stored 558/1200  8572s
stored 559/1200  8674s
stored 560/1200  8698s
stored 561/1200  8699s
stored 562/1200  8722s
stored 563/1200  8722s
stored 564/1200  8732s
stored 565/1200  8827s
stored 566/1200  8852s
stored 567/1200  8861s
stored 568/1200  8872s
stored 569/1200  8880s
stored 570/1200  8882s
stored 571/1200  8982s
stored 572/1200  9007s
stored 573/1200  9016s
stored 574/1200  9023s
stored 575/1200  9031s
stored 576/1200  9032s
stored 577/1200  9124s
stored 578/1200  9154s
stored 579/1200  9158s
stored 580/1200  9177s
stored 581/1200  9177s
stored 582/1200  9185s
stored 583/1200  9282s
stored 584/1200  9316s
stored 585/1200  9324s
stored 586/1200  9325s
stored 587/1200  9334s
stored 588/1200  9348s
stored 589/1200  9425s
stored 590/1200  9467s
stored 591/1200  9471s
stored 592/1200  9482s
stored 593/1200  9492s
stored 594/1200  9512s
stored 595/1200  9580s
stored 596/1200  9627s
