L 8 states 119 targets 1828
L8_prod2_a4_b4_uA0_uB2 N 6 {'U': 4.0, 'G': 2.667, 'GH': 2.0, 'W': 2.667, 'M': 2.667, 'O': 2.0, 'RH': 2.167} | rel vs G: {'U': -0.5, 'GH': 0.25, 'W': 0.0, 'M': 0.0, 'O': 0.25, 'RH': 0.188} | RH O-calls 6 | t=894s
L8_prod2_a4_b4_uA0_uB3 N 4 {'U': 1.75, 'G': 2.0, 'GH': 2.0, 'W': 2.0, 'M': 2.0, 'O': 2.0, 'RH': 2.0} | rel vs G: {'U': 0.125, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=894s
L8_prod2_a4_b4_uA1_uB0 N 4 {'U': 2.25, 'G': 2.0, 'GH': 2.0, 'W': 2.0, 'M': 2.0, 'O': 2.0, 'RH': 2.0} | rel vs G: {'U': -0.125, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=894s
L8_prod2_a4_b4_uA1_uB1 N 16 {'U': 3.812, 'G': 2.688, 'GH': 2.812, 'W': 2.875, 'M': 2.875, 'O': 2.812, 'RH': 2.688} | rel vs G: {'U': -0.419, 'GH': -0.047, 'W': -0.07, 'M': -0.07, 'O': -0.047, 'RH': 0.0} | RH O-calls 0 | t=895s
L8_prod2_a4_b4_uA1_uB2 N 24 {'U': 4.708, 'G': 2.917, 'GH': 2.875, 'W': 3.0, 'M': 3.0, 'O': 2.917, 'RH': 2.875} | rel vs G: {'U': -0.614, 'GH': 0.014, 'W': -0.029, 'M': -0.029, 'O': 0.0, 'RH': 0.014} | RH O-calls 2 | t=917s
L8_prod2_a4_b4_uA1_uB3 N 16 {'U': 4.375, 'G': 2.75, 'GH': 3.062, 'W': 2.875, 'M': 2.875, 'O': 2.812, 'RH': 2.75} | rel vs G: {'U': -0.591, 'GH': -0.114, 'W': -0.045, 'M': -0.045, 'O': -0.023, 'RH': 0.0} | RH O-calls 0 | t=922s
L8_prod2_a4_b4_uA1_uB4 N 4 {'U': 4.0, 'G': 2.0, 'GH': 2.0, 'W': 2.0, 'M': 2.0, 'O': 2.0, 'RH': 2.0} | rel vs G: {'U': -1.0, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=922s
L8_prod2_a4_b4_uA2_uB0 N 6 {'U': 2.667, 'G': 2.667, 'GH': 2.0, 'W': 2.667, 'M': 2.667, 'O': 2.0, 'RH': 2.0} | rel vs G: {'U': 0.0, 'GH': 0.25, 'W': 0.0, 'M': 0.0, 'O': 0.25, 'RH': 0.25} | RH O-calls 6 | t=923s
L8_prod2_a4_b4_uA2_uB1 N 24 {'U': 5.875, 'G': 2.958, 'GH': 2.958, 'W': 3.0, 'M': 3.0, 'O': 2.917, 'RH': 2.958} | rel vs G: {'U': -0.986, 'GH': 0.0, 'W': -0.014, 'M': -0.014, 'O': 0.014, 'RH': 0.0} | RH O-calls 0 | t=945s
L8_prod2_a4_b4_uA2_uB2 N 36 {'U': 4.806, 'G': 3.417, 'GH': 2.833, 'W': 3.222, 'M': 3.222, 'O': 3.167, 'RH': 3.306} | rel vs G: {'U': -0.407, 'GH': 0.171, 'W': 0.057, 'M': 0.057, 'O': 0.073, 'RH': 0.033} | RH O-calls 5 | t=1022s
L8_prod2_a4_b4_uA2_uB3 N 24 {'U': 4.583, 'G': 3.083, 'GH': 2.875, 'W': 3.0, 'M': 3.0, 'O': 2.917, 'RH': 3.083} | rel vs G: {'U': -0.486, 'GH': 0.068, 'W': 0.027, 'M': 0.027, 'O': 0.054, 'RH': 0.0} | RH O-calls 3 | t=1045s
L8_prod2_a4_b4_uA2_uB4 N 6 {'U': 2.667, 'G': 2.667, 'GH': 1.833, 'W': 2.667, 'M': 2.667, 'O': 2.0, 'RH': 2.167} | rel vs G: {'U': 0.0, 'GH': 0.312, 'W': 0.0, 'M': 0.0, 'O': 0.25, 'RH': 0.188} | RH O-calls 6 | t=1045s
L8_prod2_a4_b4_uA3_uB0 N 4 {'U': 2.5, 'G': 2.0, 'GH': 2.0, 'W': 2.0, 'M': 2.0, 'O': 2.0, 'RH': 2.0} | rel vs G: {'U': -0.25, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=1045s
L8_prod2_a4_b4_uA3_uB1 N 16 {'U': 4.312, 'G': 2.688, 'GH': 2.812, 'W': 2.875, 'M': 2.875, 'O': 2.812, 'RH': 2.688} | rel vs G: {'U': -0.605, 'GH': -0.047, 'W': -0.07, 'M': -0.07, 'O': -0.047, 'RH': 0.0} | RH O-calls 1 | t=1051s
L8_prod2_a4_b4_uA3_uB2 N 24 {'U': 4.375, 'G': 2.833, 'GH': 2.875, 'W': 3.0, 'M': 3.0, 'O': 2.917, 'RH': 2.792} | rel vs G: {'U': -0.544, 'GH': -0.015, 'W': -0.059, 'M': -0.059, 'O': -0.029, 'RH': 0.015} | RH O-calls 2 | t=1072s
L8_prod2_a4_b4_uA3_uB3 N 16 {'U': 5.062, 'G': 3.062, 'GH': 2.625, 'W': 2.875, 'M': 2.875, 'O': 2.812, 'RH': 3.062} | rel vs G: {'U': -0.653, 'GH': 0.143, 'W': 0.061, 'M': 0.061, 'O': 0.082, 'RH': 0.0} | RH O-calls 0 | t=1073s
