L 9 states 114 targets 1458
L9_prod2_a3_b6_uA2_uB0 N 3 {'U': 2.333, 'G': 1.667, 'GH': 1.667, 'W': 1.667, 'M': 1.667, 'O': 1.667, 'RH': 1.667} | rel vs G: {'U': -0.4, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=1015s
L9_prod2_a3_b6_uA2_uB1 N 18 {'U': 5.0, 'G': 3.056, 'GH': 2.889, 'W': 3.222, 'M': 3.111, 'O': 3.0, 'RH': 3.111} | rel vs G: {'U': -0.636, 'GH': 0.055, 'W': -0.055, 'M': -0.018, 'O': 0.018, 'RH': -0.018} | RH O-calls 8 | t=1054s
L9_prod2_a3_b6_uA2_uB5 N 18 {'U': 4.611, 'G': 3.167, 'GH': 2.944, 'W': 3.222, 'M': 3.0, 'O': 3.0, 'RH': 3.056} | rel vs G: {'U': -0.456, 'GH': 0.07, 'W': -0.018, 'M': 0.053, 'O': 0.053, 'RH': 0.035} | RH O-calls 8 | t=1089s
L9_prod2_a3_b6_uA2_uB6 N 3 {'U': 3.333, 'G': 1.667, 'GH': 1.667, 'W': 1.667, 'M': 1.667, 'O': 1.667, 'RH': 1.667} | rel vs G: {'U': -1.0, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=1089s
L9_prod2_a3_b6_uA3_uB1 N 6 {'U': 3.167, 'G': 2.833, 'GH': 2.667, 'W': 2.667, 'M': 2.667, 'O': 2.667, 'RH': 2.833} | rel vs G: {'U': -0.118, 'GH': 0.059, 'W': 0.059, 'M': 0.059, 'O': 0.059, 'RH': 0.0} | RH O-calls 0 | t=1090s
L9_prod2_a3_b6_uA3_uB2 N 15 {'U': 5.533, 'G': 3.067, 'GH': 3.2, 'W': 3.067, 'M': 3.067, 'O': 3.0, 'RH': 3.2} | rel vs G: {'U': -0.804, 'GH': -0.043, 'W': 0.0, 'M': 0.0, 'O': 0.022, 'RH': -0.043} | RH O-calls 4 | t=1096s
L9_prod2_a3_b6_uA3_uB3 N 20 {'U': 4.7, 'G': 3.15, 'GH': 3.0, 'W': 3.2, 'M': 3.1, 'O': 3.1, 'RH': 3.1} | rel vs G: {'U': -0.492, 'GH': 0.048, 'W': -0.016, 'M': 0.016, 'O': 0.016, 'RH': 0.016} | RH O-calls 10 | t=1107s
L9_prod2_a3_b6_uA3_uB4 N 15 {'U': 4.333, 'G': 3.267, 'GH': 2.867, 'W': 3.067, 'M': 3.067, 'O': 3.0, 'RH': 3.067} | rel vs G: {'U': -0.327, 'GH': 0.122, 'W': 0.061, 'M': 0.061, 'O': 0.082, 'RH': 0.061} | RH O-calls 7 | t=1109s
L9_prod2_a3_b6_uA3_uB5 N 6 {'U': 3.667, 'G': 2.667, 'GH': 2.5, 'W': 2.667, 'M': 2.667, 'O': 2.667, 'RH': 2.667} | rel vs G: {'U': -0.375, 'GH': 0.062, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=1110s
L9_prod2_a4_b5_uA0_uB1 N 5 {'U': 3.0, 'G': 2.4, 'GH': 2.4, 'W': 2.4, 'M': 2.4, 'O': 2.4, 'RH': 2.4} | rel vs G: {'U': -0.25, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=1110s
L9_prod2_a4_b5_uA0_uB2 N 10 {'U': 4.1, 'G': 2.8, 'GH': 2.6, 'W': 2.6, 'M': 2.6, 'O': 2.6, 'RH': 2.8} | rel vs G: {'U': -0.464, 'GH': 0.071, 'W': 0.071, 'M': 0.071, 'O': 0.071, 'RH': 0.0} | RH O-calls 0 | t=1111s
L9_prod2_a4_b5_uA0_uB3 N 10 {'U': 4.3, 'G': 2.5, 'GH': 2.4, 'W': 2.6, 'M': 2.6, 'O': 2.6, 'RH': 2.5} | rel vs G: {'U': -0.72, 'GH': 0.04, 'W': -0.04, 'M': -0.04, 'O': -0.04, 'RH': 0.0} | RH O-calls 0 | t=1112s
L9_prod2_a4_b5_uA0_uB4 N 5 {'U': 4.4, 'G': 2.2, 'GH': 2.6, 'W': 2.4, 'M': 2.4, 'O': 2.4, 'RH': 2.2} | rel vs G: {'U': -1.0, 'GH': -0.182, 'W': -0.091, 'M': -0.091, 'O': -0.091, 'RH': 0.0} | RH O-calls 0 | t=1113s
L9_prod2_a4_b5_uA1_uB0 N 4 {'U': 3.5, 'G': 2.0, 'GH': 2.0, 'W': 2.0, 'M': 2.0, 'O': 2.0, 'RH': 2.0} | rel vs G: {'U': -0.75, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=1113s
L9_prod2_a4_b5_uA1_uB1 N 20 {'U': 4.0, 'G': 3.25, 'GH': 3.05, 'W': 3.15, 'M': 3.15, 'O': 3.0, 'RH': 3.2} | rel vs G: {'U': -0.231, 'GH': 0.062, 'W': 0.031, 'M': 0.031, 'O': 0.077, 'RH': 0.015} | RH O-calls 9 | t=1160s
L9_prod2_a4_b5_uA1_uB4 N 20 {'U': 5.65, 'G': 3.1, 'GH': 3.05, 'W': 3.15, 'M': 3.15, 'O': 3.0, 'RH': 3.1} | rel vs G: {'U': -0.823, 'GH': 0.016, 'W': -0.016, 'M': -0.016, 'O': 0.032, 'RH': 0.0} | RH O-calls 10 | t=1224s
L9_prod2_a4_b5_uA1_uB5 N 4 {'U': 5.5, 'G': 2.0, 'GH': 2.0, 'W': 2.0, 'M': 2.0, 'O': 2.0, 'RH': 2.0} | rel vs G: {'U': -1.75, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=1225s
L9_prod2_a4_b5_uA2_uB0 N 6 {'U': 2.833, 'G': 2.667, 'GH': 2.333, 'W': 2.667, 'M': 2.667, 'O': 2.0, 'RH': 2.0} | rel vs G: {'U': -0.063, 'GH': 0.125, 'W': 0.0, 'M': 0.0, 'O': 0.25, 'RH': 0.25} | RH O-calls 6 | t=1225s
L9_prod2_a4_b5_uA2_uB1 N 30 {'U': 4.9, 'G': 3.533, 'GH': 3.3, 'W': 3.333, 'M': 3.333, 'O': 3.167, 'RH': 3.5} | rel vs G: {'U': -0.387, 'GH': 0.066, 'W': 0.057, 'M': 0.057, 'O': 0.104, 'RH': 0.009} | RH O-calls 1 | t=1515s
L9_prod2_a4_b5_uA2_uB4 N 30 {'U': 4.733, 'G': 3.5, 'GH': 3.233, 'W': 3.333, 'M': 3.333, 'O': 3.167, 'RH': 3.467} | rel vs G: {'U': -0.352, 'GH': 0.076, 'W': 0.048, 'M': 0.048, 'O': 0.095, 'RH': 0.01} | RH O-calls 3 | t=1730s
L9_prod2_a4_b5_uA2_uB5 N 6 {'U': 6.667, 'G': 2.667, 'GH': 1.5, 'W': 2.667, 'M': 2.667, 'O': 2.0, 'RH': 2.0} | rel vs G: {'U': -1.5, 'GH': 0.437, 'W': 0.0, 'M': 0.0, 'O': 0.25, 'RH': 0.25} | RH O-calls 6 | t=1730s
L9_prod2_a4_b5_uA3_uB0 N 4 {'U': 3.25, 'G': 2.0, 'GH': 2.0, 'W': 2.0, 'M': 2.0, 'O': 2.0, 'RH': 2.0} | rel vs G: {'U': -0.625, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=1731s
L9_prod2_a4_b5_uA3_uB1 N 20 {'U': 4.8, 'G': 3.15, 'GH': 3.2, 'W': 3.15, 'M': 3.05, 'O': 3.0, 'RH': 3.35} | rel vs G: {'U': -0.524, 'GH': -0.016, 'W': 0.0, 'M': 0.032, 'O': 0.048, 'RH': -0.063} | RH O-calls 10 | t=1772s
L9_prod2_a4_b5_uA3_uB4 N 20 {'U': 4.55, 'G': 3.35, 'GH': 3.0, 'W': 3.15, 'M': 3.05, 'O': 3.0, 'RH': 3.4} | rel vs G: {'U': -0.358, 'GH': 0.104, 'W': 0.06, 'M': 0.09, 'O': 0.104, 'RH': -0.015} | RH O-calls 9 | t=1802s
L9_prod2_a4_b5_uA3_uB5 N 4 {'U': 4.0, 'G': 2.0, 'GH': 2.0, 'W': 2.0, 'M': 2.0, 'O': 2.0, 'RH': 2.0} | rel vs G: {'U': -1.0, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=1803s
L9_prod2_a4_b5_uA4_uB1 N 5 {'U': 3.6, 'G': 2.4, 'GH': 2.4, 'W': 2.4, 'M': 2.4, 'O': 2.4, 'RH': 2.4} | rel vs G: {'U': -0.5, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=1803s
L9_prod2_a4_b5_uA4_uB2 N 10 {'U': 3.6, 'G': 2.5, 'GH': 2.1, 'W': 2.6, 'M': 2.6, 'O': 2.6, 'RH': 2.5} | rel vs G: {'U': -0.44, 'GH': 0.16, 'W': -0.04, 'M': -0.04, 'O': -0.04, 'RH': 0.0} | RH O-calls 0 | t=1803s
L9_prod2_a4_b5_uA4_uB3 N 10 {'U': 4.6, 'G': 2.4, 'GH': 2.7, 'W': 2.6, 'M': 2.6, 'O': 2.6, 'RH': 2.4} | rel vs G: {'U': -0.917, 'GH': -0.125, 'W': -0.083, 'M': -0.083, 'O': -0.083, 'RH': 0.0} | RH O-calls 0 | t=1804s
L9_prod2_a4_b5_uA4_uB4 N 5 {'U': 3.4, 'G': 2.0, 'GH': 2.4, 'W': 2.4, 'M': 2.4, 'O': 2.4, 'RH': 2.0} | rel vs G: {'U': -0.7, 'GH': -0.2, 'W': -0.2, 'M': -0.2, 'O': -0.2, 'RH': 0.0} | RH O-calls 0 | t=1804s
L9_prod2_a5_b4_uA0_uB1 N 4 {'U': 2.75, 'G': 2.0, 'GH': 2.0, 'W': 2.0, 'M': 2.0, 'O': 2.0, 'RH': 2.0} | rel vs G: {'U': -0.375, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=1804s
L9_prod2_a5_b4_uA0_uB2 N 6 {'U': 3.167, 'G': 2.667, 'GH': 2.167, 'W': 2.667, 'M': 2.667, 'O': 2.0, 'RH': 1.833} | rel vs G: {'U': -0.188, 'GH': 0.188, 'W': 0.0, 'M': 0.0, 'O': 0.25, 'RH': 0.312} | RH O-calls 6 | t=1805s
L9_prod2_a5_b4_uA0_uB3 N 4 {'U': 4.5, 'G': 2.0, 'GH': 2.0, 'W': 2.0, 'M': 2.0, 'O': 2.0, 'RH': 2.0} | rel vs G: {'U': -1.25, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=1805s
