name,mass_1_source,mass_2_source,chirp_mass_source,total_mass_source,final_mass_source,luminosity_distance,redshift,network_matched_filter_snr,chi_eff
GW200115_042309-v2,5.9,1.44,2.43,7.4,7.2,290.0,0.06,11.3,-0.15
GW200112_155838-v1,35.6,28.3,27.4,63.9,60.8,1250.0,0.24,19.8,0.06
GW191230_180458-v1,49.4,37.0,36.5,86.0,82.0,4300.0,0.69,10.4,-0.05
GW191222_033537-v1,45.1,34.7,33.8,79.0,75.5,3000.0,0.51,12.5,-0.04
GW191219_163120-v1,31.1,1.17,4.31,32.3,32.2,550.0,0.11,9.1,0.0
GW191216_213338-v1,12.1,7.7,8.33,19.8,18.87,340.0,0.07,18.6,0.11
GW191215_223052-v1,24.9,18.1,18.4,43.3,41.4,1930.0,0.35,11.2,-0.04
GW191204_171526-v1,11.7,8.4,8.56,20.19,19.18,640.0,0.13,17.4,0.16
GW191204_110529-v1,27.3,19.2,19.8,47.1,45.0,1900.0,0.34,8.9,0.05
GW191129_134029-v1,10.7,6.7,7.31,17.5,16.8,790.0,0.16,13.1,0.06
GW191127_050227-v1,53.0,24.0,29.9,80.0,76.0,3400.0,0.57,9.2,0.18
GW191126_115259-v1,12.1,8.3,8.65,20.7,19.6,1620.0,0.3,8.3,0.21
GW191113_071753-v1,29.0,5.9,10.7,34.5,34.0,1370.0,0.26,7.9,0.0
GW191109_010717-v1,65.0,47.0,47.5,112.0,107.0,1290.0,0.25,17.3,-0.29
GW191105_143521-v1,10.7,7.7,7.82,18.5,17.6,1150.0,0.23,9.7,-0.02
GW191103_012549-v1,11.8,7.9,8.34,20.0,19.0,990.0,0.2,8.9,0.21
GW190930_133541-v2,14.2,6.9,8.5,21.2,20.2,770.0,0.16,9.7,0.19
GW190929_012149-v2,66.3,26.8,35.6,93.3,90.3,3130.0,0.53,9.7,-0.03
GW190926_050336-v1,41.1,20.4,24.4,61.9,59.6,3280.0,0.55,8.1,-0.02
GW190925_232845-v1,20.8,15.5,15.6,36.7,34.9,930.0,0.19,9.7,0.09
GW190924_021846-v2,8.8,5.1,5.8,13.9,13.3,550.0,0.11,12.0,0.03
GW190917_114630-v1,9.7,2.1,3.7,11.8,11.6,720.0,0.15,8.3,-0.08
GW190916_200658-v1,43.8,23.3,26.9,68.0,65.0,4940.0,0.77,8.1,0.2
GW190915_235702-v2,32.6,24.5,24.4,57.2,54.7,1750.0,0.32,13.1,-0.03
GW190910_112807-v2,43.8,34.2,33.5,78.0,74.4,1520.0,0.29,14.5,0.0
GW190828_065509-v2,23.7,10.4,13.4,34.3,33.0,1540.0,0.29,10.2,0.05
GW190828_063405-v2,31.9,25.8,24.6,57.2,54.3,2070.0,0.38,16.5,0.15
GW190814_211039-v3,23.3,2.6,6.11,25.9,25.7,230.0,0.05,25.3,0.0
GW190805_211137-v1,46.2,30.6,31.9,76.7,72.4,6130.0,0.92,8.1,0.37
GW190803_022701-v2,37.7,27.6,27.6,65.0,62.1,3190.0,0.54,9.3,-0.01
GW190731_140936-v2,41.8,29.0,29.7,70.7,67.4,3330.0,0.56,8.8,0.07
GW190728_064510-v2,12.5,8.0,8.6,20.7,19.7,880.0,0.18,13.1,0.13
GW190727_060333-v2,38.9,30.2,29.4,68.8,65.4,3070.0,0.52,11.7,0.09
GW190725_174728-v1,11.8,6.3,7.4,18.3,17.6,1030.0,0.2,9.1,-0.04
GW190720_000836-v2,14.2,7.5,9.0,21.8,20.8,770.0,0.16,10.9,0.19
GW190719_215514-v2,36.6,19.9,22.8,57.2,54.5,3730.0,0.61,7.9,0.25
GW190708_232457-v2,19.8,11.6,13.1,31.4,30.1,930.0,0.19,13.4,0.05
GW190707_093326-v2,12.1,7.9,8.4,20.1,19.2,850.0,0.17,13.1,-0.04
GW190706_222641-v2,74.0,39.4,45.6,112.6,107.3,3630.0,0.6,13.4,0.28
GW190701_203306-v2,54.1,40.5,40.2,94.3,90.2,2090.0,0.38,11.2,-0.08
GW190630_185205-v2,35.1,24.0,25.1,59.4,56.6,870.0,0.18,16.4,0.1
GW190620_030421-v2,58.0,35.0,38.1,92.7,88.0,2910.0,0.5,12.1,0.34
GW190602_175927-v2,71.8,44.8,48.0,115.6,110.5,2840.0,0.49,13.2,0.12
GW190527_092055-v2,35.6,22.2,23.9,58.1,55.5,2520.0,0.44,8.0,0.1
GW190521_074359-v2,43.4,33.4,32.8,76.3,72.6,1080.0,0.21,25.9,0.1
GW190521_030229-v4,98.4,57.2,63.3,153.1,147.4,3310.0,0.56,14.3,-0.14
GW190519_153544-v2,65.1,40.8,44.3,105.6,100.0,2600.0,0.45,15.9,0.33
GW190517_055101-v2,39.2,24.0,26.5,64.1,60.1,1790.0,0.33,10.8,0.49
GW190514_065416-v2,40.9,28.4,29.1,69.3,66.4,3890.0,0.64,8.0,-0.08
GW190513_205428-v2,36.0,18.3,21.8,54.4,52.1,2210.0,0.4,12.5,0.16
GW190512_180714-v2,23.2,12.5,14.6,35.8,34.3,1460.0,0.28,12.7,0.02
GW190503_185404-v2,41.3,28.3,29.3,69.4,66.5,1520.0,0.29,12.2,-0.05
GW190426_190642-v1,105.5,76.0,76.0,182.3,172.9,4580.0,0.73,8.7,0.23
GW190425_081805-v3,2.1,1.3,1.44,3.4,,150.0,0.03,12.4,0.07
GW190421_213856-v2,42.0,32.0,31.4,73.6,70.5,2590.0,0.45,10.7,-0.1
GW190413_134308-v2,51.3,30.4,33.3,81.3,78.0,3800.0,0.62,10.6,-0.01
GW190413_052954-v2,33.7,24.2,24.5,58.0,55.5,3320.0,0.56,9.0,-0.04
GW190412_053044-v4,27.7,9.0,13.3,36.8,35.6,720.0,0.15,19.8,0.21
GW190408_181802-v2,24.8,18.5,18.5,43.4,41.4,1540.0,0.29,14.6,-0.03
GW190403_051519-v1,85.0,20.0,34.0,106.6,102.2,8280.0,1.18,7.6,0.68
GW170823-v2,38.3,29.0,28.6,67.0,63.9,1970.0,0.36,12.2,0.05
GW170818-v2,34.8,27.6,26.8,62.5,59.7,1080.0,0.21,12.0,-0.06
GW170817-v3,1.46,1.27,1.186,,2.8,40.0,0.01,33.0,0.0
GW170814-v4,30.9,24.9,24.1,56.0,53.2,610.0,0.13,17.7,0.08
GW170809-v2,34.1,24.2,24.8,58.5,55.7,1070.0,0.21,12.8,0.07
GW170729-v2,54.7,30.2,34.6,84.4,80.3,2490.0,0.44,10.7,0.29
GW170608-v4,10.6,7.8,7.9,18.5,17.7,340.0,0.07,15.3,0.05
GW170104-v3,28.7,20.8,21.1,49.6,47.5,1110.0,0.22,13.8,-0.04
GW151226-v3,14.2,7.5,8.9,21.7,20.7,460.0,0.1,12.7,0.2
GW151012-v4,24.8,13.6,15.6,38.8,37.1,1000.0,0.2,9.3,0.12
GW150914-v4,34.6,30.0,27.9,64.5,61.5,470.0,0.1,26.0,-0.04
